id,ar,latin,tr,siga
12,لَا يَحْسِبْ,Layehsib,Zannetmesin,Nehy-i gâib
13,اِحْسِبْ,İhsib,Zannet,Emr-i hâzır
14,لَا تَحْسِبْ,Latehsib,Zannetme,Nehy-i hâzır
15,مَحْسَبٌ,Mehsebun,"Zannetme zamanı,mekanı,zannetmek",İsm-i zaman İsm-i mekânMasdar-ı mimî
16,مِحْسَبٌ,Mihsebun,Zannetme aleti,İsm-i âlet
17,حَسْبَةً,Hasbeten,Bir kere zannetmek,Masdar binâ-i merra
18,حِسْبَةً,Hisbeten,Bir türlü zannetmek,Masdar binâ-i nevi
19,حُسَيْبٌ,Hüseybün,Zannetmecik,İsm-i tasğîr
20,حِسْبَانِيٌّ,Hisbaniyyun,Zannetmeye mensup,İsm-i mensûb
21,حَسَّابٌ,Hassabün,Çok çok zanneden,Mübâlağa-i ism-i fâil
22,اَحْسَبُ,Ehsebu,Ziyade zannedici,İsm-i tafdîl
23,مَا اَحْسَبَهُ,Maehsebehu,Acayip zannetti,Fi’l-i taaccüb-i evvel
24,وَاَحْسِبْ بِهِ,Veehsibbihi,Ne acayip zannetti,Fi’l-i taaccüb-i sânî
1,أَمَرَ,EMERA,Emretti,Fi’l-i mâzî
2,يَأْمُرُ,Ye'muru,"Emrediyor,emreder,emredecek",Fi’l-i muzârî
3,أَمْرًا,Emran,Emretmek,Masdar-ı gayr-i mimî
4,آمِرٌ,Amirun,Emreden,İsm-i fâil
5,مَأْمُورٌ,Me'murun,Emrolunmuş,İsm-i mef’ûl
6,لَمْ يَاْمُرْ,Lemye'mur,Emretmedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَاْمُرْ,Lemmaye'mur,Henüz emretmedi,Fi’l-i muzârî cahd-i müstağrak
8,ماَ يَاْمُرُ,Maye'muru,Emretmiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَاْمُرُ,Laye'muru,Emretmeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَاْمُرَ,Lenye'mura,Elbette emretmeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَاْمُرْ,Liye'mur,Emretsin,Emr-i gâib
12,لَا يَاْمُرْ,Laye'mur,Emretmesin,Nehy-i gâib
13,مُرْ,Mur,Emret,Emr-i hâzır
14,لَا تَاْمُرْ,Late'mur,Emretme,Nehy-i hâzır
15,مَاْمَرُنْ,Me'merun,"Emretme yeri,zamanı,emretmek",İsm-i zaman İsm-i mekânMasdar-ı mimî
16,مِاْمَرُنْ,Mi'merun,Emretme aleti,İsm-i âlet
17,أَمْرَتً,Emraten,Bir kere emretmek,Masdar binâ-i merra
18,اِمْرَتً,İmraten,Bir türlü emretmek,Masdar binâ-i nevi
19,أُمَيْرٌ,Umeyrun,Emretmecik,İsm-i tasğîr
20,أَمْرِيٌ,Emriyyun,Emretmeye mensup,İsm-i mensûb
21,أَمْمَرٌ,Emmarun,Çok çok emreden,Mübâlağa-i ism-i fâil
22,أَمَرُ,Ameru,Ziyade emredici,İsm-i tafdîl
23,مَا أَمَرَهُ,Maamerahu,Acayip emretti,Fi’l-i taaccüb-i evvel
24,وَآمِرْبِهِ,Veamirbihi,Ne acayip emretti,Fi’l-i taaccüb-i sânî
